date,net_portfolio_value,net_daily_return,net_daily_log_return,net_cumulative_return,net_cumulative_log_return,net_drawdown,gross_portfolio_value,gross_daily_return,gross_daily_log_return,gross_cumulative_return,gross_cumulative_log_return,gross_drawdown,volume_traded
2005-01-03,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,333333.334
2005-01-04,996216.6743633491,-0.003783325636650847,-0.0037905005154061254,-0.003783325636650847,-0.0037905005154061254,-0.003783325636650847,996216.6743633491,-0.003783325636650847,-0.0037905005154061254,-0.003783325636650847,-0.0037905005154061254,-0.003783325636650847,0.0
2005-01-05,995963.3411050756,-0.0002542953403540382,-0.0002543276788965778,-0.004036658894924439,-0.004044828194302698,-0.004036658894924439,995963.3411050756,-0.0002542953403540382,-0.0002543276788965778,-0.004036658894924439,-0.004044828194302698,-0.004036658894924439,0.0
2005-01-06,996907.424450964,0.0009479097341482667,0.0009474607514238822,-0.0030925755490360807,-0.00309736744287879,-0.0030925755490360807,996907.424450964,0.0009479097341482667,0.0009474607514238822,-0.0030925755490360807,-0.00309736744287879,-0.0030925755490360807,0.0
2005-01-07,997047.482676426,0.0001404927097810038,0.00014048284160451342,-0.0029525173235740443,-0.002956884601274157,-0.0029525173235740443,997047.482676426,0.0001404927097810038,0.00014048284160451342,-0.0029525173235740443,-0.002956884601274157,-0.0029525173235740443,0.0
2005-01-10,998086.2009350974,0.0010417941740179515,0.0010412518830717947,-0.0019137990649026326,-0.001915632718202516,-0.0019137990649026326,998086.2009350974,0.0010417941740179515,0.0010412518830717947,-0.0019137990649026326,-0.001915632718202516,-0.0019137990649026326,165071.83444655244
2005-01-11,999061.6310027346,0.0009773004242752403,0.000976823177132842,-0.0009383689972654041,-0.0009388095410695787,-0.0009383689972654041,999061.6310027346,0.0009773004242752403,0.000976823177132842,-0.0009383689972654041,-0.0009388095410695787,-0.0009383689972654041,0.0
2005-01-12,999286.8927480958,0.0002254733225366401,0.00022544790724729363,-0.0007131072519042103,-0.0007133616338221525,-0.0007131072519042103,999286.8927480958,0.0002254733225366401,0.00022544790724729363,-0.0007131072519042103,-0.0007133616338221525,-0.0007131072519042103,0.0
2005-01-13,1000899.9227121505,0.0016141810482661612,0.0016128796583023276,0.0008999227121504472,0.0008995180244800766,0.0,1000899.9227121505,0.0016141810482661612,0.0016128796583023276,0.0008999227121504472,0.0008995180244800766,0.0,0.0
2005-01-14,1000881.1922338861,-0.00001871363743699561,-0.00001871381253929321,0.0008811922338860523,0.0008808042119407406,-0.00001871363743699561,1000881.1922338861,-0.00001871363743699561,-0.00001871381253929321,0.0008811922338860523,0.0008808042119407406,-0.00001871363743699561,0.0
2005-01-18,1001443.9844057206,0.0005622966803666696,0.0005621386508251766,0.0014439844057205775,0.001442942862765894,0.0,1001443.9844057206,0.0005622966803666696,0.0005621386508251766,0.0014439844057205775,0.001442942862765894,0.0,0.0
2005-01-19,1001931.6155823779,0.00048692806013184153,0.0004868095491332961,0.0019316155823778658,0.0019297524118990987,0.0,1001931.6155823779,0.00048692806013184153,0.0004868095491332961,0.0019316155823778658,0.0019297524118990987,0.0,0.0
2005-01-20,1002269.2530605462,0.0003369865496978264,0.0003369297824833215,0.0022692530605461503,0.00226668219438243,0.0,1002269.2530605462,0.0003369865496978264,0.0003369297824833215,0.0022692530605461503,0.00226668219438243,0.0,0.0
2005-01-21,1002456.8861350561,0.00018720825161189225,0.00018719073033387424,0.0024568861350562354,0.002453872924716567,0.0,1002456.8861350561,0.00018720825161189225,0.00018719073033387424,0.0024568861350562354,0.002453872924716567,0.0,0.0
2005-01-24,1003188.3917784747,0.0007297128221033233,0.0007294467111504661,0.0031883917784747418,0.003183319635867018,0.0,1003188.3917784746,0.0007297128221031013,0.0007294467111502443,0.0031883917784745197,0.0031833196358667963,0.0,171449.89133192218
2005-01-25,999543.433321058,-0.0036333738381429947,-0.0036399905731102095,-0.0004565666789418943,-0.0004566709372431729,-0.0036333738381429947,999543.433321058,-0.0036333738381428837,-0.0036399905731100985,-0.0004565666789418943,-0.0004566709372431729,-0.0036333738381428837,0.0
2005-01-26,1001613.6335517702,0.002071145846893163,0.002069003981234515,0.0016136335517702438,0.0016123330439912374,-0.00156975323838493,1001613.6335517702,0.002071145846893163,0.002069003981234515,0.0016136335517702438,0.0016123330439912374,-0.001569753238384819,0.0
2005-01-27,1001028.9433734245,-0.0005837482226279667,-0.0005839186699571221,0.001028943373424518,0.0010284143740341746,-0.0021525851203499924,1001028.9433734245,-0.0005837482226279667,-0.0005839186699571221,0.001028943373424518,0.0010284143740341746,-0.0021525851203498814,0.0
2005-01-28,1002967.1392993291,0.001936203681956572,0.0019343316556342455,0.0029671392993291246,0.0029627460296683056,-0.00022054928162928977,1002967.1392993291,0.001936203681956572,0.0019343316556342455,0.0029671392993291246,0.0029627460296683056,-0.00022054928162917875,0.0
2005-01-31,1001605.4440933417,-0.0013576668194121844,-0.0013585892840360572,0.0016054440933417347,0.001604156745632316,-0.0015779166685996326,1001605.4440933417,-0.0013576668194121844,-0.0013585892840360572,0.0016054440933417347,0.001604156745632316,-0.0015779166685995216,165878.94256039217
2005-02-01,1001339.9550069848,-0.0002650635416596714,-0.0002650986772091359,0.0013399550069848054,0.00133905806842324,-0.0018425619620786593,1001339.9550069848,-0.0002650635416596714,-0.0002650986772091359,0.0013399550069848054,0.00133905806842324,-0.0018425619620785483,0.0
2005-02-02,1001723.4654051554,0.00038299719915602104,0.0003829238744502476,0.0017234654051554443,0.0017219819428734352,-0.00146027045899344,1001723.4654051554,0.00038299719915602104,0.0003829238744502476,0.0017234654051554443,0.0017219819428734352,-0.001460270458993329,0.0
2005-02-03,1001577.3723067299,-0.00014584174522302984,-0.00014585238116447677,0.0015773723067298295,0.0015761295617088928,-0.0016058992358242152,1001577.3723067299,-0.00014584174522302984,-0.00014585238116447677,0.0015773723067298295,0.0015761295617088928,-0.0016058992358241042,0.0
2005-02-04,1003952.6152661972,0.002371502217544119,0.0023686946440619303,0.003952615266197279,0.003944824205770851,0.0,1003952.6152661972,0.002371502217544119,0.0023686946440619303,0.003952615266197279,0.003944824205770851,0.0,0.0
2005-02-07,1005213.3213844064,0.001255742650637881,0.001254954865270388,0.005213321384406333,0.005199779071041087,0.0,1005213.3213844064,0.001255742650637881,0.001254954865270388,0.005213321384406333,0.005199779071041087,0.0,170542.11830715678
2005-02-08,1006360.0054944294,0.0011407370810045947,0.001140086934844188,0.006360005494429277,0.006339866005885238,0.0,1006360.0054944294,0.0011407370810045947,0.001140086934844188,0.006360005494429277,0.006339866005885238,0.0,0.0
2005-02-09,1005552.6764398916,-0.0008022268871279437,-0.0008025488433166159,0.005552676439891657,0.005537317162568857,-0.0008022268871279437,1005552.6764398916,-0.0008022268871279437,-0.0008025488433166159,0.005552676439891657,0.005537317162568857,-0.0008022268871279437,0.0
2005-02-10,1003873.1446233913,-0.0016702574174896068,-0.0016716538525639287,0.003873144623391278,0.003865663310004805,-0.0024711443792087007,1003873.1446233913,-0.0016702574174896068,-0.0016716538525639287,0.003873144623391278,0.003865663310004805,-0.0024711443792087007,0.0
2005-02-11,1005202.6967375877,0.0013244224345647648,0.0013235461607912728,0.005202696737587775,0.005189209470796276,-0.0011499947836988156,1005202.6967375877,0.0013244224345647648,0.0013235461607912728,0.005202696737587775,0.005189209470796276,-0.0011499947836988156,0.0
2005-02-14,1005597.8623773116,0.0003931203537419492,0.00039304310218113024,0.005597862377311635,0.005582252572977424,-0.000757326516312995,1005597.8623773115,0.0003931203537419492,0.00039304310218113024,0.005597862377311413,0.005582252572977203,-0.000757326516313106,168917.3502203797
2005-02-15,1005494.5150918316,-0.00010277198206809501,-0.00010277726347010064,0.00549451509183152,0.005479475309507165,-0.0008600206664339805,1005494.5150918316,-0.00010277198206798399,-0.00010277726346998962,0.00549451509183152,0.005479475309507165,-0.0008600206664339805,0.0
2005-02-16,1004739.0833151147,-0.0007513037270500122,-0.0007515860971344748,0.004739083315114634,0.004727889212372642,-0.001610678256751985,1004739.0833151147,-0.0007513037270500122,-0.0007515860971344748,0.004739083315114634,0.004727889212372642,-0.001610678256751985,0.0
2005-02-17,1003160.9063435661,-0.0015707331363495891,-0.0015719680309383745,0.003160906343566028,0.003155921181434223,-0.003178881447391646,1003160.9063435661,-0.0015707331363495891,-0.0015719680309383745,0.003160906343566028,0.003155921181434223,-0.003178881447391646,0.0
2005-02-18,1001985.4082430725,-0.0011717941688719202,-0.0011724812564616216,0.001985408243072362,0.0019834399249725964,-0.004346950621520018,1001985.4082430725,-0.0011717941688719202,-0.0011724812564616216,0.001985408243072362,0.0019834399249725964,-0.004346950621520018,0.0
2005-02-22,1002009.097393363,0.00002364221085016105,0.000023641931377499,0.0020090973933630796,0.002007081856350345,-0.004323411182192927,1002009.097393363,0.00002364221085016105,0.000023641931377499,0.0020090973933630796,0.002007081856350345,-0.004323411182192927,0.0
2005-02-23,1003139.0201987205,0.0011276572321516909,0.001127021904311579,0.003139020198720477,0.0031341037606619077,-0.003200629275928346,1003139.0201987205,0.0011276572321516909,0.001127021904311579,0.003139020198720477,0.0031341037606619077,-0.003200629275928346,0.0
2005-02-24,1003521.3912395441,0.00038117452628627646,0.0003811018977320487,0.0035213912395442026,0.0035152056583941547,-0.0028206747479899708,1003521.3912395441,0.00038117452628627646,0.0003811018977320487,0.0035213912395442026,0.0035152056583941547,-0.0028206747479899708,0.0
2005-02-25,1006635.9524788671,0.003103632136307377,0.0030988258122287187,0.006635952478867058,0.006614031470622791,0.0,1006635.9524788671,0.003103632136307377,0.0030988258122287187,0.006635952478867058,0.006614031470622791,0.0,0.0
